127.0.0.1, 2016-04-01 12:01:31, GET, /admin/default/design/interface, HTTP/1.1, 200, 0.209016
127.0.0.1, 2016-04-01 12:01:31, GET, /admin/static/_2.14.3/images/search.png, HTTP/1.1, 200, 0.000477
127.0.0.1, 2016-04-01 12:01:31, GET, /admin/static/_2.14.3/images/help.png, HTTP/1.1, 200, 0.000653
127.0.0.1, 2016-04-01 12:01:31, GET, /admin/static/_2.14.3/images/delete_icon.png, HTTP/1.1, 200, 0.000634
127.0.0.1, 2016-04-01 12:01:31, GET, /admin/static/_2.14.3/images/test_icon.png, HTTP/1.1, 200, 0.000607
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/default/edit/interface/models/db.py, HTTP/1.1, 200, 0.051547
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000432
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000598
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000653
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000394
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000388
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000418
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000376
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000393
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000386
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000356
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000525
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000368
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000405
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000374
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000391
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000357
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000353
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000359
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000350
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000351
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000394
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/js/ajax_editor.js, HTTP/1.1, 200, 0.000404
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000394
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000380
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000422
127.0.0.1, 2016-04-01 12:01:34, GET, /admin/static/_2.14.3/images/files_toggle.png, HTTP/1.1, 200, 0.000413
127.0.0.1, 2016-04-01 12:01:35, GET, /admin/default/edit/interface/models/db.py, HTTP/1.1, 200, 0.050161
127.0.0.1, 2016-04-01 12:01:35, GET, /admin/static/_2.14.3/images/save_icon.png, HTTP/1.1, 200, 0.000767
127.0.0.1, 2016-04-01 12:01:35, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.074859
127.0.0.1, 2016-04-01 12:01:35, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.116092
127.0.0.1, 2016-04-01 12:01:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.149307
127.0.0.1, 2016-04-01 12:01:35, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.163085
127.0.0.1, 2016-04-01 12:01:36, GET, /interface/appadmin/hooks, HTTP/1.1, 200, 1.196920
127.0.0.1, 2016-04-01 12:01:43, GET, /admin/default/edit/interface/models/menu.py, HTTP/1.1, 200, 0.069177
127.0.0.1, 2016-04-01 12:01:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014959
127.0.0.1, 2016-04-01 12:01:45, GET, /admin/default/edit/interface/models/db.py, HTTP/1.1, 200, 0.039915
127.0.0.1, 2016-04-01 12:01:46, GET, /admin/default/edit/interface/models/db.py, HTTP/1.1, 200, 0.039423
127.0.0.1, 2016-04-01 12:01:59, GET, /admin/default/edit/interface/controllers/default.py, HTTP/1.1, 200, 0.057996
127.0.0.1, 2016-04-01 12:01:59, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.018672
127.0.0.1, 2016-04-01 12:02:08, GET, /admin/default/edit/interface/models/db.py, HTTP/1.1, 200, 0.050558
127.0.0.1, 2016-04-01 12:02:08, GET, /admin/default/edit/interface/models/db.py, HTTP/1.1, 200, 0.034866
127.0.0.1, 2016-04-01 12:02:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.154126
127.0.0.1, 2016-04-01 12:02:37, GET, /interface/appadmin/hooks, HTTP/1.1, 200, 1.965305
127.0.0.1, 2016-04-01 12:03:21, POST, /admin/default/create_file, HTTP/1.1, 200, 0.050376
127.0.0.1, 2016-04-01 12:03:21, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.061033
127.0.0.1, 2016-04-01 12:03:21, GET, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.097083
127.0.0.1, 2016-04-01 12:03:21, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.013102
127.0.0.1, 2016-04-01 12:03:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.170340
127.0.0.1, 2016-04-01 12:03:36, GET, /interface/appadmin/hooks, HTTP/1.1, 200, 1.716649
127.0.0.1, 2016-04-01 12:04:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077044
