SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
1,Intex Aqua Turbo 4G (Grey),,,Android,Grey,1 GB,14.5 x 0.9 x 7.3 cm,"GSM, (1900/1800/850/900 MHz), 3G, WCDMA, (2100 MHz), LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail",2016-03-27
2,Lava P7 (Blue-Black),4 out of 5 stars,"4,999.00",Android,Blue-Black,,14.3 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor",2016-03-27
3,"Moto E 2nd Generation (4G, Black)",3.9 out of 5 stars,"6,999.00",Android,Black,1 GB,13 x 1.2 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, (2100 MHz), 4G LTE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
4,Gionee Elife E3 (White),3.7 out of 5 stars,"7,690.00",Android,White,1 GB,13.7 x 0.8 x 6.8 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, GPS, Dual SIM, eCompass, Light sensor, Proximity sensor, G sensor, E-mail, Expandable Memory: 32GB",2016-03-27
5,"LG L80 Dual D380 (White, 4GB)",4 out of 5 stars,"8,361.00","Android, Kitkat",White,1 GB,13.8 x 1 x 7.4 cm,"GSM, (850/900/1800/1900 MHz), 3G, GPRS, EDGE","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
6,Adcom Kitkat A-54 (Black) with Flip Cover & Screenguard,1 out of 5 stars,"4,547.00","Android, KitKat, Android^KitKat",Black,1 GB,17.6 x 10.1 x 5.9 cm,HSDPA,"E-Mail, Music Player, Video Player",2016-03-27
7,Lava X11 4G (Crystal Blue),,,Android,Crystal Blue,,14.6 x 0.8 x 7.2 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (900/2100 MHz), 4G LTE, TDD40, (2300 MHz), FDD3, (1800 MHz), FDD5, (850 MHz), HSPA+, HSPA, GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Hall sensor",2016-03-27
8,"Ultimate (UK) UM450 4.5"" Quad Core High Performance 3G Dual SIM Unlocked SIM-Free Smart Phone-Black",,,Android,Black,,13.4 x 1 x 6.7 cm,3G,"Dual SIM, Android 4.4 kitkat, Screen Size 4.5'' Q HD 540x960 OPS Screen, RAM 1 GB, 8 Mp Primary Camera",2016-03-27
9,Samsung Galaxy S5 SM-G900H (Electric Blue),3.5 out of 5 stars,"29,840.00",Android,Electric Blue,2 GB,14.2 x 0.8 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/1900/2100 MHz), WiFi","Music Player, Video Player, Accelerometer, Gyro sensor, Proximity sensor, Compass, Barometer sensor, Hall sensor, RGB ambient light sensor, Gesture sensor, Fingerprint sensor, Heart rate sensor, E-mail, Expandable Memory: 128GB",2016-03-27
10,Intex Aqua Star II 16 GB (White),5 out of 5 stars,"6,999.00",Android,white,,18.2 x 15.4 x 3.8 cm,,Primary Camera,2016-03-27
