SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
11,Panasonic T31 (White),3.1 out of 5 stars,,"Android, Jellybean",White,512 MB,12.2 x 1.2 x 6.4 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/1900/2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
12,Micomax Q391 Android Mobile Phone with 6 inch screen (Blue),3.8 out of 5 stars,"7,407.00",Android,blue,1 GB,20.4 x 19.2 x 3.4 cm,WCDMA,"8MP primary camera with auto-focus, flash and 2MP front facing camera, 6-inch (15.24 centimeters) IPS multi-touch capacitive touchscreen with 960 x 540 pixels resolution and 16.7M color support, Android v5.0 Lollipop operating system with 1.3GHz quad core processor, 1GB RAM, 8GB internal memory expandable up to 32GB and dual SIM (GSM+WCDMA), 3000mAH lithium-ion battery providing talk time of 10 hours and standby time of 300 hours, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",2016-03-27
13,"Micromax Canvas 2 Colours A120 (8GB, White)",3.9 out of 5 stars,"7,300.00","Android, Jellybean",White,1 GB,18.5 x 16.6 x 3.8 cm,"GSM, (900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), WiFi","Dual SIM, Music Player, Video Player, Light sensor, Motion sensor, Proximity sensor",2016-03-27
14,"Samsung Note 5 DS (Gold Platinum, 32GB)",4 out of 5 stars,"51,400.00",Android,Gold Platinum,,15.3 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1900/2100 MHz), 4G LTE, WiFi","Dual SIM, GPS, Music Player, Video Player, Accelerometer, Barometer, Fingerprint sensor, Gyro sensor, Geomagnetic sensor, Hall sensor, HR sensor, Proximity sensor, RGB light sensor, E-mail",2016-03-27
15,MICROMAX CANVAS TUBE A118R,5 out of 5 stars,"6,699.00",Android,black,1 GB,18.2 x 12.5 x 6.4 cm,GSM,"PROCESSOR 1.2GHz quad core, HSPA 21Mbps/5.76Mbps, memory RAM-1GB ROM-4GB, Primary-8.0MP AF/SECONDARY-2.0MP, ANDROID JELLYBEAN 4.2, 2300MAh Battery, TALKTIME-5 hours Standby Time-150 HOURS",2016-03-27
16,Swipe Xylus - White,,"8,499.00","Android, Ice Cream Sandwich, Android^Ice Cream Sandwich",White,4 GB,,HSDPA,"E-Mail, Music Player, Video Player",2016-03-27
17,Intex Aqua Y2 Pro (Black-Blue),3.6 out of 5 stars,,"Android, Kitkat",Black-Blue,512 MB,13.4 x 1 x 6.8 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, E-mail, Expandable Memory: 32GB",2016-03-27
18,Refurbished Samsung Galaxy A8 4G (Pearl White),,,Android,White,,15.8 x 0.6 x 7.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Light sensor, Fingerprint sensor, Geo-magnetic sensor, E-mail",2016-03-27
19,"HTC Desire 626G+ (White Birch, 8GB)",3.5 out of 5 stars,"11,093.00","Android, Kitkat",White Birch,1 GB,7.1 x 0.8 x 14.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, Light sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
20,Lava Iris Atom 2X (Black),3.3 out of 5 stars,"4,499.00",Android,Black,1 GB,13.4 x 0.9 x 6.6 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, Music Player, Video Player, Accelerometer, E-mail",2016-03-27
21,Panasonic T35,,"3,375.00",Android,,,14.6 x 8.4 x 6.4 cm,,"Dual SIM, Primary Camera, LED Flash",2016-03-27
22,Swipe Konnect 4 Neo (Black),,,Android,Black,256 MB,12.3 x 1 x 6.3 cm,"GSM, (900/1800 MHz), 3G, (2100 GHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Accelometer, Proximity sensor, E-mail",2016-03-27
23,Gionee S Plus GIMS0090 (Golden),2.9 out of 5 stars,,Android,Golden,3 GB,15.5 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, (1900/900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, G sensor, eCompass, Motion sensor, Light sensor, E-mail",2016-03-27
24,Karbonn Titanium High 2 S203 (White-Champ),3.8 out of 5 stars,"4,884.00",Android,White-Champ,512 MB,14.6 x 1 x 7.2 cm,"GSM, (900/1800 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, Music Player, Video Player, FM Radio, G sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
25,Lava A71 (Dream Black),,"5,849.00",Android,Dream Black,,14.6 x 0.8 x 7.2 cm,"GSM, (900/1800 MHz), WCMDA, 3G, (900/2100 MHz), HSPA+, 4G LTE","Dual SIM, Music Player, Video Player, Accelerometer, Ambient light sensor, Hall sensor, E-mail",2016-03-27
26,Micromax Canvas Juice 3 Q392 (Grey),3.4 out of 5 stars,"7,170.00",android,Grey,,16.4 x 9.4 x 4.2 cm,,"5 inch HD IPS Display with Corning® Gorilla ® Glass 3, Android Lollipop 5.1, 1.3GHz Quad core Processor, 8MP AF(Rear), 2MP FF(Front) Camera, ROM: 8GB, RAM: 2GB DDR3, 4000mAh Marathon Battery",2016-03-27
27,"Asus Zenfone 5 (Cherry Red, 16GB)",3.9 out of 5 stars,"9,499.00","Android, Jellybean",Cherry Red,2 GB,14.8 x 1 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, G sensor, eCompass, Proximity sensor, Light sensor, Hall sensor, E-mail, Dual SIM",2016-03-27
28,Panasonic Eluga S (Black),4 out of 5 stars,"7,490.00","Android, Kitkat",Black,1 GB,14.1 x 0.8 x 7.1 cm,"GSM, (900/1800/1900 MHz), 3G, UMTS, (900/2100 MHz), EDGE, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
29,ASUS MOBILE ZENPAD 7 (Z170CG) RED,,"9,589.00",Android,red,,20.4 x 12.4 x 4 cm,Bluetooth,"Bluetooth Tethering, USB, Primary Camera, GPS",2016-03-27
30,"Asus Zenfone Selfie ZD551KL (Tiffany Blue, 32GB)",5 out of 5 stars,,Android,Tiffany Blue,2 GB,15.7 x 1.1 x 7.7 cm,"GSM, 3G, WCDMA, (850/900/1900/2100 MHz), LTE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerator, G sensor, eCompass, Gyroscope, Proximity sensor, Ambient light sensor, Hall sensor, E-mail",2016-03-27
31,Refurbished Samsung Galaxy S Duos 2 GT-S7582 (Pure White),3 out of 5 stars,,Android,Pure White,768 MB,12.2 x 1.1 x 6.3 cm,"GSM, (850/900/1800/1900 MHz), HSPA, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Geo-magnetic sensor, Proximity sensor, E-mail",2016-03-27
32,"Sony Xperia T3 (Black, 8GB)",4.1 out of 5 stars,,"Android, Kitkat",Black,1 GB,15.1 x 7.7 x 0.7 cm,"GSM, (850/900/1800/190o MHz), EDGE, GPRS, 3G, UMTS(900/2100 MHz)","Music Player, Video Player, E-mail, GPS, Accelerometer, Gyrometer, Compass, Proximity, FM Radio, Expandable Memory: 32GB",2016-03-27
33,MTECH OPAL SMART BLACK 3G WIFI 4GB ROM 512 MB RAM DUAL CAMERA 3.2MP & 1.3 MP 1GHZ DUAL CORE PROCEESOR 3.5 INCH DISPLAY SMART PHONE,,,"Android, jellyBean, Android^jellyBean",black,2 GB,,HSDPA,"3.5 INCH HVGA Display (320 X 480), 3.5mm Audio Jack, Full Touch Capacitive, 1300 mAh Battery, GSM 900/1800/1900 Mhz",2016-03-27
34,Lava A88 (White),,,Android,White,,14.5 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Dual SIM, Music Player, Video Player, FM Radio, Accelerometer, E-mail",2016-03-27
35,Karbonn Titanium S10 (White),3.1 out of 5 stars,,"Android, Kitkat",White,1 GB,17.6 x 5.6 x 10 cm,"GSM, 3G, WCDMA, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, G sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
36,XOLO A550S IPS DUAL SIM 5MP CAM (BLACK),3.4 out of 5 stars,,android,black,512 MB,15.4 x 9.4 x 6.2 cm,HSDPA,"4"" IPS DISPLAY, 1.3 dual core processor, 512MB rAM 4GB INTERNAL, 1400mAh BATTERY, DUAL SIM 3G",2016-03-27
37,"Asus Zenfone 2 Laser ZE601KL (Red, 32GB)",4 out of 5 stars,"17,999.00",Android,Red,,16.5 x 1.1 x 8.4 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (850/900/1900/2100 MHz), 4G LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerator, G sensor, eCompass, Gyroscope, Proximity sensor, Ambient light sensor, Hall sensor, E-mail",2016-03-27
38,Philips S388 (Black),4 out of 5 stars,,"Android, Jellybean",Black,512 MB,13.1 x 0.9 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, (900/2100 MHz), 3G, GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, GPS, E-mail, Dual SIM, Expandable Memory: 32GB",2016-03-27
39,"HTC Desire 816 (Dual SIM, Orange)",4.3 out of 5 stars,"25,500.00","Android, Kitkat",Orange,1 GB,15.7 x 0.8 x 7.9 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (850/900/2100 MHz), GPRS, EDGE, WiFi IEEE 802.11 b/g/n (2.4 GHz)","Video Calls, Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 128GB",2016-03-27
40,LG L70 Dual D325 (Black),4.2 out of 5 stars,,android,black,1 GB,18.6 x 15.6 x 5.2 cm,HSDPA,"Dual SIM, Music Player, Video Player",2016-03-27
41,Micromax Juice 4G,5 out of 5 stars,"7,845.00","Lollipop, Android",,,17 x 10 x 4.6 cm,4G LTE,"Bluetooth Tethering, Touchscreen, Primary Camera, Radio, LED Flash, Wifi",2016-03-27
42,"Calibarr A6 5"" 1.6 Quad Core High Performance 3G Dual SIM Smart Phone-Black",5 out of 5 stars,,Android,Black,,14 x 1 x 6 cm,Ethernet,"8 GB Free TF Card, 1.6GHz Quad Core Processor. With Andriod Kitkat 4.4.2 2 GB RAM 8 GB ROM, Screen Size 5'' HD IPS, 5 Mpx Camera and 2 Mpc Front Camera, 2500 Mah Battery",2016-03-27
43,ZTE Blade G2  (Black),4 out of 5 stars,,"Android, jellyBean, Android^jellyBean",Black,512 MB,18 x 14 x 7 cm,HSDPA,"Expandable Memory Upto 32GB, E-Mail|Music Player|Video Player",2016-03-27
44,Videocon A48 (Black),,"6,999.00","Android, jellyBean, Android^jellyBean",Black,256 MB,13.7 x 1 x 6.8 cm,HSDPA,"Expandable Memory Upto 32GB, Connectivity: GSM/GPRS/EDGE: 900/1800MHz,UMTS/WCDMA/HSPA: 2100MHz, Bluetooth V 3.0 with A2DP support, Micro USB Support",2016-03-27
45,"Lenovo S820 (Red, 8GB)",4.4 out of 5 stars,"11,999.00","Android, Jellybean",Red,1 GB,14 x 0.9 x 7 cm,"GSM, (900/1800/1900 MHz), HSDPA, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, Accelerometer sensor, Proximity sensor, FM Radio, GPS, E-mail, Dual SIM, Expandable Memory: 32GB",2016-03-27
46,ZTE Q 301 C (CDMA + GSM),4 out of 5 stars,"5,499.00",Android,White,,31.9 x 9.7 x 6.2 cm,GSM,Dual SIM,2016-03-27
47,"Rage Attitude 4.0, Android OS, v4.4.2 (KitKat),1 GhZ Quad core,5 MP Camera(Grey)",,"3,399.00",android,Grey,0.50 MB,18 x 10.4 x 4.1 cm,WCDMA,"Dual Sim (Mini+Micro), 4"" Capacitive touch screen,480*800 p, MicroSD,Expandable up to 32 GB, 4GB Rom(1.24GB user Available),512MB RAM, Android OS, v4.4.2 (KitKat), 1 GhZ Quad core, 5 MP CAMERA ,GPRS,FM,MP3, Battery- 1500 mAH",2016-03-27
48,HTC One E9s Dual SIM (Meteor Grey),3.5 out of 5 stars,"20,680.00",Android,Meteor Grey,2 GB,15.8 x 0.8 x 8 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/1900/2100 MHz), LTE, WiFi 802.11 a/b/g/n/ac","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-03-27
49,Gionee Elife S5.1 (White),3.3 out of 5 stars,,"Android, jellyBean, Android^jellyBean",WHITE GOLD,1 GB,22.4 x 11.8 x 3.2 cm,HSDPA,"Music Player, Video Player",2016-03-27
50,VIDEOCON Z55 DASH - OCTA CORE,,"6,598.00",Android,BLACK/GOLD,,0.9 x 7.2 x 14.5 cm,,"Dual SIM, Primary Camera",2016-03-27
51,"Samsung Galaxy A3 (Pearl White, 16GB)",3.4 out of 5 stars,,"Android, Kitkat",White,1 GB,13 x 0.7 x 6.6 cm,"GSM, (850/900/1800/1900 MHz), HSPA, 3G, WiFi 802.11 b/g/n","Single SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Compass, E-mail, Expandable Memory: 64GB",2016-03-27
52,Intex Aqua Wing (White),,,Android,White,,12.5 x 1 x 6.4 cm,"GSM, (50/900/1800 MHz), WCDMA, 3G, (2100/900 MHz), 4G LTE, FDD:B3, B5, TDD:B40, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, E-mail",2016-03-27
53,Panasonic Eluga Icon (Slate),3.5 out of 5 stars,"9,649.00",Android,Slate,2 GB,15.2 x 0.8 x 7.6 cm,"GSM, (900/1800/1900MHz), UMTS, (900/2100MHz), 4G LTE","Video Calls, Dual SIM, GPS, Music Player, Video Player, E-mail, FM Radio, Accelerometer, Proximity sensor, Ambient Light sensor, Expandable Memory: 32GB",2016-03-27
54,Micromax Android 2 AQ4502 (Black-White),3.2 out of 5 stars,,Android,Black-White,1 GB,13.2 x 0.9 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
55,ADCOM IKON 4 (GOLD),4.2 out of 5 stars,"4,081.00",android,Gold,,14.7 x 8.8 x 7.2 cm,,"4.0 Inch Screen, Battery Capacity: 1500 mAh, Memory: RAM 1 GB,Internal 8 GB, Rear Camera: 5 MP with flash, Front Camera : 1.3 MP, Connectivity:3G,WiFi,Bluetooth,GPS,USB",2016-03-27
56,"Sony Xperia E4 (Dual SIM, White)",3.6 out of 5 stars,,"Android, Kitkat",White,1 GB,13.7 x 1.1 x 7.5 cm,"GSM, 3G, UMTS, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Expandable Memory: 32GB",2016-03-27
57,Philips smartphone S309,3 out of 5 stars,"3,498.00","Android, Android v4.4 (KitKat)",,512 MB,6.5 x 1.1 x 12.8 cm,,"Camera, Radio, Internet, E-Mail, music player",2016-03-27
58,Intex Aqua Lite (White),3 out of 5 stars,"3,199.00",Android,White,,12.6 x 1 x 6.4 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (2100/900 MHz), GPRS, EDGE, HSPA+, HSPA, WiFi","Dual SIM, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail",2016-03-27
59,Lava Iris 444 (Black-Blue),,,Android,Black-Blue,,12.3 x 1.1 x 6.3 cm,"GSM, (900/1800 MHz), WiFi","Dual SIM, Music Player, Video Player, FM Radio, Accelerometer, E-mail",2016-03-27
60,Refurbished Samsung Galaxy Grand Quattro I8552 (Grey),,,Android,Grey,1 GB,13.3 x 1 x 7.1 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS(2100 MHz), GPRS, EDGE, WiFi 802.11 a/b/g/n/ac","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, Accelerometer, eCompass, Light sensor, E-mail",2016-03-27
61,Intex Aqua Star II (Black),3 out of 5 stars,,"Android, Kitkat",Black,1 GB,14.2 x 0.9 x 7.2 cm,"GSM, (900/1800), 3G, WCDMA, (2100MHz), HSDPA, HSUPA, EDGE, GPRS, WAP, WiFi 802.11/b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, E-mail, Gravity sensor, Proximity sensor, Light sensor",2016-03-27
62,Reach Klassy 400HD (Black-White),,,"Android, KitKat, Android^KitKat","Black, White",1 GB,19 x 12 x 5 cm,HSDPA,"Android 4.4.2 Kitkat, 5 inches HD+IPS+OGS, Micro SD, up to 64 GB, Rear Camera 8MP with Flash, Front Camera 3.2MP, Processor	1.2Ghz Quad core, Messaging	SMS, Whatsapp, Wechat, Li-Ion 2500 mAh battery",2016-03-27
63,Samsung Galaxy S3 Mini GT-i8200 White (Value Edition) Factory Unlocked Android P,,"15,828.00",Android,white,,12.7 x 8.3 x 5.1 cm,3G,"Touchscreen, Primary Camera, LED Flash",2016-03-27
64,OPPO R1 R829T (White),2.5 out of 5 stars,,"Android, Jellybean",White,1 GB,14.3 x 0.7 x 7 cm,"GSM, (850/900/1800/1900 MHz), (2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, G-Sensor, E-mail, NFC, E-compass, Light and proximity sensor, Gyro meter",2016-03-27
65,Karbonn A109 (Black),2.2 out of 5 stars,"2,599.00","Android, Jellybean",Black,256 MB,6.4 x 0.8 x 1.1 cm,"GSM, GPRS, EDGE, WiFi 802.11/b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
66,Sony Xperia P LT22i (Black),,,"Android, Gingerbread",Black,1 GB,12.2 x 1.1 x 12.2 cm,"GSM, GPRS, EDGE, WiFi, (850/900/1800/1900 MHz)","Voice Calls, Video Calls, Accelerometer sensor, Proximity sensor, E-mail, GPS",2016-03-27
67,Micromax Bolt A71 (White),2.5 out of 5 stars,,"Android, Jellybean",White,512 MB,14.9 x 1 x 7.9 cm,"GSM, (900/1800 MHz), UMTS, 3G, (2100 MHz), WiFi","Music Player, Video Player, E-mail, Dual SIM, Expandable Memory: 32GB",2016-03-27
68,Refurbished Infocus M810 (Gold),3.5 out of 5 stars,,Android,Gold,,15.4 x 0.7 x 7.6 cm,GSM^3G^4G LTE,"Single SIM, Music Player, Video Player, FM Radio, Proximity sensor, Ambient light sensor, Accelerometer, eCompass, E-mail",2016-03-27
69,Lava Iris Atom 2 (White),3.1 out of 5 stars,"3,749.00",Android,White,512 MB,13.4 x 0.9 x 6.6 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
70,"Sony Xperia E4g (Dual SIM, White)",3.5 out of 5 stars,,"Android, Kitkat",White,1 GB,13.3 x 1.1 x 7.1 cm,"GSM, 3G, UMTS, 4G LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
71,Intex Aqua Power HD (Silver-Black),2.9 out of 5 stars,"7,099.00",Android,Silver-Black,2 GB,14 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-03-27
72,Wham M5 (Yellow),,,android,Yellow,1 GB,26.3 x 16 x 1.2 cm,WCDMA,"Camera, Radio, Internet, E-Mail, music player",2016-03-27
73,"Gionee S Plus (White,16GB)",3.5 out of 5 stars,"16,991.00",Android,white,3 GB,18.2 x 17.6 x 3.6 cm,,"Camera, Radio, Internet, E-Mail, music player",2016-03-27
74,INTEX CLOUD SWIFT,3.7 out of 5 stars,"7,996.00",Android,Grey,3 GB,14.5 x 0.9 x 7.2 cm,,"3 gb ram, Android OS",2016-03-27
75,"Samsung Galaxy SM-J200G/DD (White, 8 GB)",4 out of 5 stars,"8,350.00",Android,White,1 GB,13.7 x 0.8 x 6.9 cm,"GSM, (850/900/1800/1900 MHz), HSDPA, 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, E-mail, Expandable Memory: 128GB",2016-03-27
76,TRY P6 Android Mobile Phone (White),,,Android,White,,10 x 4 x 4 cm,HSDPA,"Expandable Memory Upto 32GB, 4.8 inch Full HD Display|5 MP Auto Focus Camera + 2MP Camera|Free Flip-Cover inside the box.|8.8mm Super Slim Body.|1.6 Quad Core + 1.2 Ghz Quad Core Processor",2016-03-27
77,Intex Aqua R2 (Silver-Black),3.5 out of 5 stars,,"Android, Jellybean",Multi-colored,256 MB,10.5 x 1.2 x 5.9 cm,"GSM, (900/1800 MHz), WiFi, GPRS, EDGE","Dual SIM, Expandable Memory: 32GB",2016-03-27
78,Panasonic T33 (Pearl White),3.2 out of 5 stars,,Android,Pearl White,512 MB,12.6 x 1 x 6.5 cm,"GSM, 3G, WCDMA, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Light sensor, Proximity sensor, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
79,"HTC Desire 516 (Dual SIM, Dark Grey)",3.3 out of 5 stars,,"Android, Jellybean",Dark Grey,1 GB,14 x 1 x 7.2 cm,"GSM, (900/1800/1900 MHz), HSDPA, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, Accelerometer, E-mail, Dual SIM, Expandable Memory: 32GB",2016-03-27
80,Honor 4X (Gold),3.9 out of 5 stars,"10,499.00",Android,Gold,,15.2 x 0.9 x 7.7 cm,"GSM, (900/1800/1900 MHz), 3G, UMTS, (900/2100 MHz), 4G LTE, WiFi 802.11b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, Hall sensor, Proximity sensor, G sensor, Ambient light sensor, Digital compass, Accelerometer, E-mail",2016-03-27
81,MICROMAX AD3520,,,"Android, KitKat, Android^KitKat",,512 MB,,HSDPA,"E-Mail, Music Player, Video Player",2016-03-27
82,Spice Stellar Mi 497 (White),,"5,600.00","Android, KitKat, Android^KitKat",White,512 MB,,HSDPA,"Dual SIM, Music Player, Video Player",2016-03-27
83,LG Spirit,4.2 out of 5 stars,"8,749.00",Android,Black,1 GB,14.2 x 5.2 x 7.5 cm,,"1.3GHZ QUAD-CORE CPU, GENTLY CURVED DESIGN, Android 5.0.1 Lollipop, GESTURE SHOT, KNOCK CODE",2016-03-27
84,Spice Stellar Mi-361 (Grey),,,"Android, Jellybean",Grey,3 GB,11.5 x 1.2 x 6.1 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
