SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
1,,,,Android,Grey,1 GB,14.5 x 0.9 x 7.3 cm,"GSM, (1900/1800/850/900 MHz), 3G, WCDMA, (2100 MHz), LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail",2016-04-03
2,,4 out of 5 stars,4999,Android,Blue-Black,,14.3 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor",2016-04-03
3,,3.9 out of 5 stars,6999,Android,Black,1 GB,13 x 1.2 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, (2100 MHz), 4G LTE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-04-03
4,,3.7 out of 5 stars,8430,Android,White,1 GB,13.7 x 0.8 x 6.8 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, GPS, Dual SIM, eCompass, Light sensor, Proximity sensor, G sensor, E-mail, Expandable Memory: 32GB",2016-04-03
5,,4 out of 5 stars,8297,"Android, Kitkat",White,1 GB,13.8 x 1 x 7.4 cm,"GSM, (850/900/1800/1900 MHz), 3G, GPRS, EDGE","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-04-03
6,,1 out of 5 stars,4547,"Android, KitKat, Android^KitKat",Black,1 GB,17.6 x 10.1 x 5.9 cm,HSDPA,"E-Mail, Music Player, Video Player",2016-04-03
7,,,7349,Android,Crystal Blue,,14.6 x 0.8 x 7.2 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (900/2100 MHz), 4G LTE, TDD40, (2300 MHz), FDD3, (1800 MHz), FDD5, (850 MHz), HSPA+, HSPA, GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Hall sensor",2016-04-03
8,,,,Android,Black,,13.4 x 1 x 6.7 cm,3G,"Dual SIM, Android 4.4 kitkat, Screen Size 4.5'' Q HD 540x960 OPS Screen, RAM 1 GB, 8 Mp Primary Camera",2016-04-03
9,,3.5 out of 5 stars,29840,Android,Electric Blue,2 GB,14.2 x 0.8 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/1900/2100 MHz), WiFi","Music Player, Video Player, Accelerometer, Gyro sensor, Proximity sensor, Compass, Barometer sensor, Hall sensor, RGB ambient light sensor, Gesture sensor, Fingerprint sensor, Heart rate sensor, E-mail, Expandable Memory: 128GB",2016-04-03
10,,5 out of 5 stars,6499,Android,white,,18.2 x 15.4 x 3.8 cm,,Primary Camera,2016-04-03
11,,3.1 out of 5 stars,,"Android, Jellybean",White,512 MB,12.2 x 1.2 x 6.4 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/1900/2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-04-03
12,,3.8 out of 5 stars,8441,Android,blue,1 GB,20.4 x 19.2 x 3.4 cm,WCDMA,"8MP primary camera with auto-focus, flash and 2MP front facing camera, 6-inch (15.24 centimeters) IPS multi-touch capacitive touchscreen with 960 x 540 pixels resolution and 16.7M color support, Android v5.0 Lollipop operating system with 1.3GHz quad core processor, 1GB RAM, 8GB internal memory expandable up to 32GB and dual SIM (GSM+WCDMA), 3000mAH lithium-ion battery providing talk time of 10 hours and standby time of 300 hours, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",2016-04-03
13,,3.9 out of 5 stars,7300,"Android, Jellybean",White,1 GB,18.5 x 16.6 x 3.8 cm,"GSM, (900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), WiFi","Dual SIM, Music Player, Video Player, Light sensor, Motion sensor, Proximity sensor",2016-04-03
14,,4 out of 5 stars,51400,Android,Gold Platinum,,15.3 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1900/2100 MHz), 4G LTE, WiFi","Dual SIM, GPS, Music Player, Video Player, Accelerometer, Barometer, Fingerprint sensor, Gyro sensor, Geomagnetic sensor, Hall sensor, HR sensor, Proximity sensor, RGB light sensor, E-mail",2016-04-03
15,,5 out of 5 stars,,Android,black,1 GB,18.2 x 12.5 x 6.4 cm,GSM,"PROCESSOR 1.2GHz quad core, HSPA 21Mbps/5.76Mbps, memory RAM-1GB ROM-4GB, Primary-8.0MP AF/SECONDARY-2.0MP, ANDROID JELLYBEAN 4.2, 2300MAh Battery, TALKTIME-5 hours Standby Time-150 HOURS",2016-04-03
16,,,8499,"Android, Ice Cream Sandwich, Android^Ice Cream Sandwich",White,4 GB,,HSDPA,"E-Mail, Music Player, Video Player",2016-04-03
17,,3.6 out of 5 stars,,"Android, Kitkat",Black-Blue,512 MB,13.4 x 1 x 6.8 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, E-mail, Expandable Memory: 32GB",2016-04-03
18,,,,Android,White,,15.8 x 0.6 x 7.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Light sensor, Fingerprint sensor, Geo-magnetic sensor, E-mail",2016-04-03
19,,3.4 out of 5 stars,12999,"Android, Kitkat",White Birch,1 GB,7.1 x 0.8 x 14.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, Light sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-04-03
20,,3.3 out of 5 stars,4499,Android,Black,1 GB,13.4 x 0.9 x 6.6 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, Music Player, Video Player, Accelerometer, E-mail",2016-04-03
21,,,3199,Android,,,14.6 x 8.4 x 6.4 cm,,"Dual SIM, Primary Camera, LED Flash",2016-04-03
22,,,,Android,Black,256 MB,12.3 x 1 x 6.3 cm,"GSM, (900/1800 MHz), 3G, (2100 GHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Accelometer, Proximity sensor, E-mail",2016-04-03
23,,3.1 out of 5 stars,,Android,Golden,3 GB,15.5 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, (1900/900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, G sensor, eCompass, Motion sensor, Light sensor, E-mail",2016-04-03
24,,3.8 out of 5 stars,,Android,White-Champ,512 MB,14.6 x 1 x 7.2 cm,"GSM, (900/1800 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, Music Player, Video Player, FM Radio, G sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-03
25,,,5849,Android,Dream Black,,14.6 x 0.8 x 7.2 cm,"GSM, (900/1800 MHz), WCMDA, 3G, (900/2100 MHz), HSPA+, 4G LTE","Dual SIM, Music Player, Video Player, Accelerometer, Ambient light sensor, Hall sensor, E-mail",2016-04-03
26,,3.3 out of 5 stars,7170,android,Grey,,16.4 x 9.4 x 4.2 cm,,"5 inch HD IPS Display with Corning® Gorilla ® Glass 3, Android Lollipop 5.1, 1.3GHz Quad core Processor, 8MP AF(Rear), 2MP FF(Front) Camera, ROM: 8GB, RAM: 2GB DDR3, 4000mAh Marathon Battery",2016-04-03
27,,3.9 out of 5 stars,9499,"Android, Jellybean",Cherry Red,2 GB,14.8 x 1 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, G sensor, eCompass, Proximity sensor, Light sensor, Hall sensor, E-mail, Dual SIM",2016-04-03
28,,4 out of 5 stars,,"Android, Kitkat",Black,1 GB,14.1 x 0.8 x 7.1 cm,"GSM, (900/1800/1900 MHz), 3G, UMTS, (900/2100 MHz), EDGE, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-04-03
29,,,,Android,red,,20.4 x 12.4 x 4 cm,Bluetooth,"Bluetooth Tethering, USB, Primary Camera, GPS",2016-04-03
30,,5 out of 5 stars,16999,Android,Tiffany Blue,2 GB,15.7 x 1.1 x 7.7 cm,"GSM, 3G, WCDMA, (850/900/1900/2100 MHz), LTE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerator, G sensor, eCompass, Gyroscope, Proximity sensor, Ambient light sensor, Hall sensor, E-mail",2016-04-03
31,,3 out of 5 stars,,Android,Pure White,768 MB,12.2 x 1.1 x 6.3 cm,"GSM, (850/900/1800/1900 MHz), HSPA, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Geo-magnetic sensor, Proximity sensor, E-mail",2016-04-03
32,,4.1 out of 5 stars,,"Android, Kitkat",Black,1 GB,15.1 x 7.7 x 0.7 cm,"GSM, (850/900/1800/190o MHz), EDGE, GPRS, 3G, UMTS(900/2100 MHz)","Music Player, Video Player, E-mail, GPS, Accelerometer, Gyrometer, Compass, Proximity, FM Radio, Expandable Memory: 32GB",2016-04-03
33,,,,"Android, jellyBean, Android^jellyBean",black,2 GB,,HSDPA,"3.5 INCH HVGA Display (320 X 480), 3.5mm Audio Jack, Full Touch Capacitive, 1300 mAh Battery, GSM 900/1800/1900 Mhz",2016-04-03
34,,,4949,Android,White,,14.5 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Dual SIM, Music Player, Video Player, FM Radio, Accelerometer, E-mail",2016-04-03
35,,3.1 out of 5 stars,4799,"Android, Kitkat",White,1 GB,17.6 x 5.6 x 10 cm,"GSM, 3G, WCDMA, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, G sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-03
36,,3.4 out of 5 stars,,android,black,512 MB,15.4 x 9.4 x 6.2 cm,HSDPA,"4"" IPS DISPLAY, 1.3 dual core processor, 512MB rAM 4GB INTERNAL, 1400mAh BATTERY, DUAL SIM 3G",2016-04-03
37,,4.1 out of 5 stars,17999,Android,Red,,16.5 x 1.1 x 8.4 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (850/900/1900/2100 MHz), 4G LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerator, G sensor, eCompass, Gyroscope, Proximity sensor, Ambient light sensor, Hall sensor, E-mail",2016-04-03
38,,4 out of 5 stars,,"Android, Jellybean",Black,512 MB,13.1 x 0.9 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, (900/2100 MHz), 3G, GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, GPS, E-mail, Dual SIM, Expandable Memory: 32GB",2016-04-03
39,,4.3 out of 5 stars,25500,"Android, Kitkat",Orange,1 GB,15.7 x 0.8 x 7.9 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (850/900/2100 MHz), GPRS, EDGE, WiFi IEEE 802.11 b/g/n (2.4 GHz)","Video Calls, Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 128GB",2016-04-03
40,,4.2 out of 5 stars,,android,black,1 GB,18.6 x 15.6 x 5.2 cm,HSDPA,"Dual SIM, Music Player, Video Player",2016-04-03
41,,5 out of 5 stars,7730,"Lollipop, Android",,,17 x 10 x 4.6 cm,4G LTE,"Bluetooth Tethering, Touchscreen, Primary Camera, Radio, LED Flash, Wifi",2016-04-03
42,,3 out of 5 stars,3449,Android,Black,,14 x 1 x 6 cm,Ethernet,"8 GB Free TF Card, 1.6GHz Quad Core Processor. With Andriod Kitkat 4.4.2 2 GB RAM 8 GB ROM, Screen Size 5'' HD IPS, 5 Mpx Camera and 2 Mpc Front Camera, 2500 Mah Battery",2016-04-03
43,,4 out of 5 stars,,"Android, jellyBean, Android^jellyBean",Black,512 MB,18 x 14 x 7 cm,HSDPA,"Expandable Memory Upto 32GB, E-Mail|Music Player|Video Player",2016-04-03
44,,,,"Android, jellyBean, Android^jellyBean",Black,256 MB,13.7 x 1 x 6.8 cm,HSDPA,"Expandable Memory Upto 32GB, Connectivity: GSM/GPRS/EDGE: 900/1800MHz,UMTS/WCDMA/HSPA: 2100MHz, Bluetooth V 3.0 with A2DP support, Micro USB Support",2016-04-03
45,,4.4 out of 5 stars,11999,"Android, Jellybean",Red,1 GB,14 x 0.9 x 7 cm,"GSM, (900/1800/1900 MHz), HSDPA, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, Accelerometer sensor, Proximity sensor, FM Radio, GPS, E-mail, Dual SIM, Expandable Memory: 32GB",2016-04-03
46,,4 out of 5 stars,5499,Android,White,,31.9 x 9.7 x 6.2 cm,GSM,Dual SIM,2016-04-03
47,,,3399,android,Grey,0.50 MB,18 x 10.4 x 4.1 cm,WCDMA,"Dual Sim (Mini+Micro), 4"" Capacitive touch screen,480*800 p, MicroSD,Expandable up to 32 GB, 4GB Rom(1.24GB user Available),512MB RAM, Android OS, v4.4.2 (KitKat), 1 GhZ Quad core, 5 MP CAMERA ,GPRS,FM,MP3, Battery- 1500 mAH",2016-04-03
48,,3.5 out of 5 stars,19990,Android,Meteor Grey,2 GB,15.8 x 0.8 x 8 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/1900/2100 MHz), LTE, WiFi 802.11 a/b/g/n/ac","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-04-03
49,,3.3 out of 5 stars,,"Android, jellyBean, Android^jellyBean",WHITE GOLD,1 GB,22.4 x 11.8 x 3.2 cm,HSDPA,"Music Player, Video Player",2016-04-03
50,,,8499,Android,BLACK/GOLD,,0.9 x 7.2 x 14.5 cm,,"Dual SIM, Primary Camera",2016-04-03
51,,3.4 out of 5 stars,13490,"Android, Kitkat",White,1 GB,13 x 0.7 x 6.6 cm,"GSM, (850/900/1800/1900 MHz), HSPA, 3G, WiFi 802.11 b/g/n","Single SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Compass, E-mail, Expandable Memory: 64GB",2016-04-03
52,,,,Android,White,,12.5 x 1 x 6.4 cm,"GSM, (50/900/1800 MHz), WCDMA, 3G, (2100/900 MHz), 4G LTE, FDD:B3, B5, TDD:B40, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, E-mail",2016-04-03
53,,3.5 out of 5 stars,9799,Android,Slate,2 GB,15.2 x 0.8 x 7.6 cm,"GSM, (900/1800/1900MHz), UMTS, (900/2100MHz), 4G LTE","Video Calls, Dual SIM, GPS, Music Player, Video Player, E-mail, FM Radio, Accelerometer, Proximity sensor, Ambient Light sensor, Expandable Memory: 32GB",2016-04-03
54,,3.2 out of 5 stars,5199,Android,Black-White,1 GB,13.2 x 0.9 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-03
55,,4.2 out of 5 stars,4081,android,Gold,,14.7 x 8.8 x 7.2 cm,,"4.0 Inch Screen, Battery Capacity: 1500 mAh, Memory: RAM 1 GB,Internal 8 GB, Rear Camera: 5 MP with flash, Front Camera : 1.3 MP, Connectivity:3G,WiFi,Bluetooth,GPS,USB",2016-04-03
56,,3.6 out of 5 stars,8610,"Android, Kitkat",White,1 GB,13.7 x 1.1 x 7.5 cm,"GSM, 3G, UMTS, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Expandable Memory: 32GB",2016-04-03
