SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
1,,,,Android,Grey,1 GB,14.5 x 0.9 x 7.3 cm,"GSM, (1900/1800/850/900 MHz), 3G, WCDMA, (2100 MHz), LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail",2016-04-07
2,,4 out of 5 stars,"4,999.00",Android,Blue-Black,,14.3 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor",2016-04-07
3,,3.9 out of 5 stars,"6,999.00",Android,Black,1 GB,13 x 1.2 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, (2100 MHz), 4G LTE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-04-07
4,,3.7 out of 5 stars,,Android,White,1 GB,13.7 x 0.8 x 6.8 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, GPS, Dual SIM, eCompass, Light sensor, Proximity sensor, G sensor, E-mail, Expandable Memory: 32GB",2016-04-07
5,,4 out of 5 stars,"8,297.00","Android, Kitkat",White,1 GB,13.8 x 1 x 7.4 cm,"GSM, (850/900/1800/1900 MHz), 3G, GPRS, EDGE","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-04-07
6,,1 out of 5 stars,"4,547.00","Android, KitKat, Android^KitKat",Black,1 GB,17.6 x 10.1 x 5.9 cm,HSDPA,"E-Mail, Music Player, Video Player",2016-04-07
7,,,"7,349.00",Android,Crystal Blue,,14.6 x 0.8 x 7.2 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (900/2100 MHz), 4G LTE, TDD40, (2300 MHz), FDD3, (1800 MHz), FDD5, (850 MHz), HSPA+, HSPA, GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Hall sensor",2016-04-07
8,,,,Android,Black,,13.4 x 1 x 6.7 cm,3G,"Dual SIM, Android 4.4 kitkat, Screen Size 4.5'' Q HD 540x960 OPS Screen, RAM 1 GB, 8 Mp Primary Camera",2016-04-07
9,,3.5 out of 5 stars,"29,840.00",Android,Electric Blue,2 GB,14.2 x 0.8 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/1900/2100 MHz), WiFi","Music Player, Video Player, Accelerometer, Gyro sensor, Proximity sensor, Compass, Barometer sensor, Hall sensor, RGB ambient light sensor, Gesture sensor, Fingerprint sensor, Heart rate sensor, E-mail, Expandable Memory: 128GB",2016-04-07
10,,5 out of 5 stars,"6,899.00",Android,white,,18.2 x 15.4 x 3.8 cm,,Primary Camera,2016-04-07
11,,3.1 out of 5 stars,,"Android, Jellybean",White,512 MB,12.2 x 1.2 x 6.4 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/1900/2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-04-07
12,,3.8 out of 5 stars,"7,500.00",Android,blue,1 GB,20.4 x 19.2 x 3.4 cm,WCDMA,"8MP primary camera with auto-focus, flash and 2MP front facing camera, 6-inch (15.24 centimeters) IPS multi-touch capacitive touchscreen with 960 x 540 pixels resolution and 16.7M color support, Android v5.0 Lollipop operating system with 1.3GHz quad core processor, 1GB RAM, 8GB internal memory expandable up to 32GB and dual SIM (GSM+WCDMA), 3000mAH lithium-ion battery providing talk time of 10 hours and standby time of 300 hours, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",2016-04-07
13,,3.9 out of 5 stars,"7,300.00","Android, Jellybean",White,1 GB,18.5 x 16.6 x 3.8 cm,"GSM, (900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), WiFi","Dual SIM, Music Player, Video Player, Light sensor, Motion sensor, Proximity sensor",2016-04-07
14,,4 out of 5 stars,"46,900.00",Android,Gold Platinum,,15.3 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1900/2100 MHz), 4G LTE, WiFi","Dual SIM, GPS, Music Player, Video Player, Accelerometer, Barometer, Fingerprint sensor, Gyro sensor, Geomagnetic sensor, Hall sensor, HR sensor, Proximity sensor, RGB light sensor, E-mail",2016-04-07
