product_id,name,ratings,price,os,colour,ram,product_dimensions,connectivity_technologies,special_features,date_now
218,Micromax Mad A94 (Grey),3.6 out of 5 stars,4500,"Android, Jellybean",Grey,512 MB,17.6 x 11 x 4.8 cm,"GSM, (900/1800 MHz), UMTS, 3G, (2100 MHz), WiFi, GPRS","Music Player, Video Player, FM Radio, E-mail, G sensor, Proximity sensor, Light sensor, Dual SIM, Expandable Memory: 32GB",2016-03-27
220,Samsung Galaxy J7 SM-J700F (Gold),4 out of 5 stars,14249,Android,Gold,1.5 GB,15.2 x 0.8 x 7.9 cm,"GSM, (850/900/1800/1900 MHz), HSDPA, 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, E-mail, Expandable Memory: 128GB",2016-03-27
225,SANSUI U52 (GREY SILVER),3.3 out of 5 stars,4999,Android,Grey Silver Black,1 GB,18 x 13.8 x 3.4 cm,WCDMA,"3000 MAH BATTERY, EXPANDABLE UPTO 32 GB, 3G ENABLE, WIFI, BLUETOOTH, 8GB ROM, 1.2 GHZ QUAD CORE PROCESSOR, DUAL SIM, 2MP FRONT CAMERA",2016-03-27
232,"LG G Pro Lite D686 (Dual SIM, Black)",4.6 out of 5 stars,12900,"Android, Jellybean",Black,1 GB,15 x 0.9 x 7.7 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, E-mail, GPS, Dual SIM, Ambient light sensor, Accelerometer, Proximity sensor, Digital compass, Expandable Memory: 32GB",2016-03-27
237,"Micromax Doodle 4 Q391 (White, 8GB)",4 out of 5 stars,7359,Android,White-Blue,1 GB,16.6 x 0.9 x 8.5 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
238,Adcom A54 Quad W Android Mobile Phone with 5 inch screen (White),3 out of 5 stars,4547,Android,White,1 GB,18 x 10.8 x 7.7 cm,HSDPA,"Expandable Memory Upto 32GB, Primary Camera 8 MP & Secondary Camera 3.2 MP",2016-03-27
240,Intex Aqua 3G Strong (Black),2.4 out of 5 stars,2679,"Android, Kitkat",Black,256 MB,12.3 x 1 x 6.3 cm,"GSM, 3G, HSDPA, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
247,Micromax Canvas Music A88 (White),3.6 out of 5 stars,6050,"Android, Jellybean",White,512 MB,13.5 x 6.9 x 6.9 cm,"GSM, (850/900/1800/1900 MHz), UMTS, (2100 MHz), WiFi, 3G, GPRS, EDGE","Music Player, Video Player, Dual SIM, FM Radio, E-mail, Proximity sensor, Gravity sensor, Expandable Memory: 32GB",2016-03-27
249,Karbonn Smart A51 Lite (Black),2.5 out of 5 stars,2499,"Android, Gingerbread",Black,256 MB,0.9 x 6.8 x 13.2 cm,"GSM, WiFi, EDGE","Video Calls, Dual SIM, Music Player, Video Player, FM Radio, G sensor",2016-03-27
255,Karbonn Titanium S3 (Black),3 out of 5 stars,6890,"Android, Kitkat",Black,512 MB,17.2 x 10.4 x 5.6 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, (850/900/1900/2100 MHz), GPRS, EDGE, 3G","Voice Calling, Video Calls, Dual SIM, GPS, Music Player, Video Player, G sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
261,"Asus Zenfone 5 (White, 16GB)",3.9 out of 5 stars,8699,"Android, Jellybean",White,2 GB,14.8 x 1 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, G sensor, eCompass, Proximity sensor, Light sensor, Hall sensor, E-mail, Dual SIM, Expandable Memory: 64GB",2016-03-27
263,Intex Aqua Wave (Grey),5 out of 5 stars,2999,Android,Grey,256 MB,12.4 x 1 x 6.5 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, Music Player, Video Player, E-mail",2016-03-27
271,"Samsung Galaxy Note 5 N920G (Gold, 32GB)",4.2 out of 5 stars,50280,Android,Gold,4 GB,15.3 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, HSDPA, (850/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Single SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, RGB light sensor, Geo magnetic sensor, Gyro sensor, Fingerprint sensor, Barometer, Hall sensor, E-mail",2016-03-27
272,"Samsung Galaxy S6 Edge Plus (32GB, Gold Platinum)",4.5 out of 5 stars,50999,Android,Gold Platinum,4 GB,15.4 x 0.7 x 7.6 cm,"GSM, 3G, 4G LTE, WiFi 802.11 a/b/g/n/ac","Video Calls, Single SIM, GPS, Music Player, Video Player, E-mail",2016-03-27
273,Karbonn S15 Plus (White),3.5 out of 5 stars,2900,Android,White,512 MB,12.7 x 1 x 6.4 cm,"GSM, 3G, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Expandable Memory: 32GB",2016-03-27
279,HTC Desire 820G Plus (Milkyway Grey),3.6 out of 5 stars,12798,Android,Milkyway Grey,1 GB,15.8 x 0.8 x 7.9 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/2100 MHz), GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
284,Intex Aqua Dream (Champagne),4 out of 5 stars,6399,Android,Champagne,1 GB,15.1 x 0.9 x 7.8 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Light sensor, Proximity sensor, Accelerometer, Gyroscope, eCompass, E-mail, Expandable Memory: 32GB",2016-03-27
285,iBall Andi 5F Infinito (Dark Blue),2.8 out of 5 stars,6800,"Android, Kitkat",Multi-colored,1 GB,13.3 x 1.1 x 7.1 cm,"GSM, 3G, GPRS, EDGE, WiFi 802.11 b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
288,HTC One E9s Dual SIM (White Luxury),1 out of 5 stars,20900,Android,White Luxury,2 GB,15.8 x 0.8 x 8 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/1900/2100 MHz), LTE, WiFi 802.11 a/b/g/n/ac","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-03-27
290,Samsung Galaxy Alpha SM-G850Y (Charcoal Black),3.4 out of 5 stars,26000,"Android, Kitkat",Charcoal Black,2 GB,13.2 x 0.7 x 6.6 cm,"GSM, (850/900 MHz), DCS, (1800 MHz), PCS, (1900 MHz), 3G, UMTS, (850/900/1900/2100 MHz), 4G, FDD 4G LTE, (700/850/900/1800/1900/2100/2600 MHz), TDD 4G LTE, (2300 MHz), WiFi 802.11 a/b/g/n/ac","Video Calls, Single SIM, GPS, Music Player, Video Player, Accelerometer, Gyro sensor, Geomagnetic sensor, Hall sensor, Light sensor, Proximity sensor, Gesture sensor, Fingerprint sensor, HR sensor, E-mail",2016-03-27
291,Samsung Galaxy Mega 2 SM-G750H (White),4.2 out of 5 stars,15513,Android,White,1.5 GB,16.4 x 0.9 x 8.5 cm,"GSM, (850/900/1800/1900 MHz), 3G, HSDPA, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Gyro sensor, Proximity sensor, eCompass, E-mail, Expandable Memory: 64GB",2016-03-27
292,"Sony Xperia M2 (Dual SIM, Purple)",3.7 out of 5 stars,12390,"Android, Kitkat",Purple,1 GB,14 x 0.9 x 7.1 cm,"GSM, (850, 900/1800/1900 MHz), UMTS, 3G, (2100 MHZ), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, eCompass, Magnetometer, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
293,"Samsung Galaxy S5 (Charcoal Black, 16GB)",4 out of 5 stars,27968,"Android, Kitkat",Black,2 GB,12.7 x 12.7 x 12.7 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/1900/2100 MHz), WiFi","Music Player, Video Player, Accelerometer, Gyro sensor, Proximity sensor, Compass, Barometer sensor, Hall sensor, RGB ambient light sensor, Gesture sensor, Fingerprint sensor, Heart rate sensor, E-mail, Expandable Memory: 128GB",2016-03-27
303,Lenovo S90 (Platinum),3.4 out of 5 stars,11789,"Android, Kitkat",Platinum,2 GB,14.6 x 0.7 x 7.2 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (900/2100 MHz), 4G LTE, (800/1800/2100/2600 MHz), GPRS, EDGE, WiFi 802.11 b/g/n","Dual SIM, GPS, Gravitation sensor, Proximity sensor, Light sensor, Expandable Memory: 32GB",2016-03-27
319,Micromax Canvas Doodle 4 Q391 (White),3.8 out of 5 stars,7359,"Android, Lollipop",White,1 GB,16.6 x 0.9 x 8.5 cm,"GSM, (900/1800/850/1900 MHz), 3G, WCDMA, (900/2100MHz), GPRS, WiFi","Dual SIM, GPS, Music Player, Video Player, E-mail, G-sensor, Proximity sensor, Light sensor, Expandable Memory: 32GB",2016-03-27
326,Samsung Galaxy Note Edge (Black),3.8 out of 5 stars,41500,"Android, Kitkat",Black,3 GB,15.1 x 0.8 x 8.2 cm,"GSM, (850/900/1800/1900 MHz), 3G, (850/900/1900/2100 MHz), HSDPA, 4G LTE Cat.6 300/50Mbps, GPRS, EDGE, WiFi 802.11 a/b/g/n/ac (2X2 MIMO)","Video Calls, Single SIM, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Geo-magnetic, Gyroscope, RGB ambient light, Barometer, Hall Sensor, Finger Scanner, UV, HRM, E-mail, Expandable Memory: 64GB",2016-03-27
331,Karbonn Titanium S4 (Black),3.5 out of 5 stars,5990,"Android, Jellybean",Black,1 GB,13.5 x 0.8 x 5.9 cm,"GSM, (900/1800 MHz), UMTS, 3G, (2100 MHz), WiFi","Music Player, Video Player, E-mail, GPS, Proximity sensor, Accelerometer, Ambient light sensor, Dual SIM",2016-03-27
332,Panasonic T21 (White),2.1 out of 5 stars,5990,"Android, Jellybean",White,1 GB,13.2 x 1 x 6.6 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, Dual SIM, E-mail, Ambient light sensor, Accelerometer, Proximity sensor, Digital compass",2016-03-27
334,Xolo One (White),4.1 out of 5 stars,5499,"Android, Kitkat",White,1 GB,12.8 x 0.9 x 6.4 cm,"GSM, (900/1800 MHz), WCDMA, 3G, (2100 MHz), GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
344,Intex Aqua Speed (Grey),4 out of 5 stars,8290,"Android, Lollipop",Grey,2 GB,13.6 x 0.9 x 6.8 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail",2016-03-27
346,Karbonn S35 (Black),4.5 out of 5 stars,4599,Android,Black,1 GB,13.5 x 1 x 6.8 cm,"GSM, 3G, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
347,"Panasonic T41, Now With 4 GB ROM, Quad Core 1.3 GHz. Color - Red",1 out of 5 stars,5290,android,red,0.50 MB,17 x 9.7 x 5.1 cm,WCDMA,"Quad Core 1.3 GHz, Android 4.4.2 (Kitkat), IPS FWVGA 480x854 pixels, 5 MP Auto Focus with LED Flash Back Camera, Battery-1650mAh Lithium Polymer",2016-03-27
355,"Sony Xperia M4 Aqua Dual (White, 16GB)",3.2 out of 5 stars,17199,"Android, Lollipop",White,2 GB,14.6 x 0.7 x 7.3 cm,"GSM, 3G, UMTS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, E-mail, Expandable Memory: 128GB",2016-03-27
356,Panasonic T11 (Black),3.1 out of 5 stars,6989,Android,Black,1 GB,11.3 x 0.9 x 6.4 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100 MHz), GPRS, EDGE, WiFi","Dual SIM, Music Player, Video Player, E-mail",2016-03-27
357,LG H818N G4 GENUINE LEATHER BROWN,4.1 out of 5 stars,35499,Android,brown,3 GB,16.2 x 8.8 x 5 cm,4G LTE,"Dual Sim Option, 4G, 3G, 2G Network Compatible, Premium Genuine Leather Back cover, Extra back cover free in the box",2016-03-27
368,Gionee P2S (White),3.7 out of 5 stars,4500,"Android, Jellybean",White,512 MB,12.6 x 0.9 x 6.4 cm,"GSM, 3G, WiFi","Dual SIM, GPS, Music Player, FM Radio, Proximity sensor, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
369,"Asus Zenfone 6 (16GB, Champagne Gold)",3.8 out of 5 stars,14468,"Android, Kitkat",Champagne Gold,2 GB,16.7 x 1 x 8.4 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, eCompass, Gyroscope sensor, Proximity sensor, E-mail, Dual SIM, Expandable Memory: 64GB",2016-03-27
372,XOLO Q1011 (White),4 out of 5 stars,10999,"Android, Kitkat",White,1 GB,18.4 x 11 x 6.2 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (2100 MHz), WiFi","Music Player, Video Player, GPS, Proximity sensor, Accelerometer, Ambient light sensor, E-mail, Dual SIM",2016-03-27
373,Samsung Galaxy A8 4G (Midnight Black),3.5 out of 5 stars,25990,Android,Midnight Black,2 GB,15.8 x 0.6 x 7.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Light sensor, Fingerprint sensor, Geomagnetic sensor, E-mail, Expandable Memory: 128GB",2016-03-27
377,Rage Mobile 40GN Dual Core 4GB Black,1 out of 5 stars,3290,android,Black,0.50 MB,6.4 x 1.1 x 12.1 cm,WCDMA,"Dual Sim, 4 Inch, IPS WVGA Capacitive touchscreen, 4GB(1.76 GB user available), 512 MB RAM, Expandable up to 32 GB, Android OS,vs 4.4.2 (Kitkat),1.2 GHZ Dual core",2016-03-27
378,Htc Desire 820 (Blue),3.8 out of 5 stars,27990,"Android, Kitkat",Blue,2 GB,15.8 x 0.8 x 7.9 cm,"GSM, (850/900/1800/1900 MHz), 3G, HSDPA, (900/2100 MHz), LTE, (1900/2300/2500/2600 MHz), GPRS, EDGE, WiFi 802.11 a/b/g/n","Video Calls, Single SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, eCompass, E-mail",2016-03-27
379,"MTS Blaze 5.0 ZTE N 919 D Dual SIM(CDMA+GSM) Android 4.1 Mobile Phone with 1.2 Ghz Snapdragon Quadcore Processor,8MP Camera and 5 inch Screen (White)",4 out of 5 stars,8800,android,White,1 GB,14 x 7 x 1 cm,GSM,"Camera, Radio, Internet, E-Mail, music player",2016-03-27
383,"Micromax Canvas A1 AQ4501 (Magnetic Black, 4GB)",4.1 out of 5 stars,5250,Android,Magnetic Black,1 GB,13.2 x 0.9 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G-sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
388,Samsung Galaxy Grand Prime 4G SM-G531F (White),3.5 out of 5 stars,8850,Android,White,1 GB,14.5 x 0.9 x 7.2 cm,"GSM, (850/900/1800/1900 MHz), 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Geomagnetic sensor, E-mail, Expandable Memory: 64GB",2016-03-27
390,Gionee Pioneer P3 (Black),3.9 out of 5 stars,5062,Android,Black,512 MB,12.9 x 1.1 x 6.8 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, GPS, Digital Compass, G sensor, Light sensor, Proximity sensor, eCompass, E-mail, Dual SIM, Expandable Memory: 32GB",2016-03-27
392,Sony Xperia C3 Dual (Mint),3.8 out of 5 stars,15990,"Android, Kitkat",Mint,1 GB,15.6 x 0.8 x 7.9 cm,"GSM, GPRS, EDGE, UMTS, WiFi","Music Player, Video Player, GPS, Expandable Memory: 32GB",2016-03-27
396,Lg L60 X-147 (Black),3.5 out of 5 stars,5800,Android,Black,512 MB,9.7 x 2.9 x 5.9 cm,HSDPA,"5 MP Primary Camera, 4.3-inch Touchscreen, Android (KitKat) OS, 1.3 GHz Dual Core Processor, Dual SIM (GSM + GSM)",2016-03-27
397,Karbonn Dazzle 2 Titanium S202 (Blue),2.7 out of 5 stars,4499,"Android, Kitkat",Blue,1 GB,17 x 5.6 x 10.2 cm,"GSM, 3G, WiFi","Video Calls, Dual SIM, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
401,"Samsung Galaxy S6 Edge (Gold Platinum, 32GB)",3.3 out of 5 stars,40849,"Android, Lollipop",Gold,3 GB,14.2 x 0.7 x 7 cm,"GSM, (850/900/1800/1900 MHz), 3G, HSDPA, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 a/b/g/n/ac","Video Calls, Single SIM, GPS, Music Player, Video Player, Accelerometer, Gyro sensor, Proximity sensor, eCompass, Barometer, Heart rate sensor, SPO2 sensor, E-mail",2016-03-27
402,"LG G3 D855 (Titan Titan, 32GB)",4.2 out of 5 stars,25499,"Android, Kitkat",Black,3 GB,14.6 x 0.9 x 7.5 cm,"GSM, EDGE, 3G, WiFi","GPS, Music Player, Video Player, FM Radio, Expandable Memory: 128GB",2016-03-27
404,"LG G3 (Silk White, 32GB)",4.1 out of 5 stars,28998,"Android, Kitkat",Silk White,3 GB,15.6 x 9.4 x 6.4 cm,"GSM, EDGE, 3G, WiFi","GPS, Music Player, Video Player, FM Radio, Expandable Memory: 128GB",2016-03-27
407,"Moto G 3rd Generation (Black, 8GB)",4 out of 5 stars,9999,Android,Black,1 GB,14.2 x 7.2 x 1.2 cm,"GSM, (850/900/1800 MHz), UMTS/HSPA+, 4G, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi","Dual SIM, Micro SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer (2), Ambient Light Sensor, Proximity, Sensor Hub, E-mail",2016-03-27
408,"HTC Desire 826 (Blue, 16 GB)",3.4 out of 5 stars,22999,Android,Blue,2 GB,15.8 x 0.8 x 7.8 cm,"GSM, (850/900/1800/1900 MHz), CDMA, 3G, HSDPA, (850/900/1900/2100 MHz), 4G LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 128GB",2016-03-27
410,Xolo LT2000 (Black),3.7 out of 5 stars,6999,"Android, Kitkat",Black,1 GB,11.5 x 0.8 x 7.5 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (850/900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, Proximity sensor, Light sensor, Accelerometer, Magnetometer, E-mail, Expandable Memory: 32GB",2016-03-27
415,Rage 40GN Dual Core 4GB grey,5 out of 5 stars,3599,android,Grey,0.50 MB,6.4 x 1.1 x 12.1 cm,WCDMA,"Expandable Memory Upto 32GB, Dual Sim, Charger/ Handsfree/ Battery/USB cable, GSM PHONE",2016-03-27
417,Lenovo A7000 (Black),3.9 out of 5 stars,7999,Android,Black,2 GB,15.3 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
421,HSL Y202 PLUS Android Mobile Phone with 4 inch screen (Black),3.8 out of 5 stars,2699,Android,White,256 MB,1 x 6.3 x 12.6 cm,HSDPA,"4-Inch TFT FWVGA LCD Display, 1.2GHz Dual Core Processor, Android KitKat, 1700 mAh Battery, Expandable up to 32 GB",2016-03-27
427,Gionee P2S (Black),3.7 out of 5 stars,4499,"Android, Jellybean",Black,512 MB,12.6 x 0.9 x 6.4 cm,"GSM, 3G, WiFi","Dual SIM, GPS, Music Player, FM Radio, Proximity sensor, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
432,"Micromax Canvas Selfie A255 (Blue, 16GB)",2.9 out of 5 stars,8999,"Android, Kitkat",Blue,2 GB,18.6 x 3 x 17.2 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Light sensor, Gravity sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
435,"Lenovo Vibe S1 (White, 32GB)",3.9 out of 5 stars,14999,Android,White,3 GB,14.3 x 0.8 x 7.1 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi 802.11 b/g/n, 4G Network: FDD Band1/3/5/7/8/20; TDD Band 40, 3G Network: 850 MHz / 900 MHz / 1900 MHz / 2100 MHz","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail",2016-03-27
437,Panasonic Eluga Switch,5 out of 5 stars,16999,"Lollipop, Android",Gunmetal Grey,2 GB,7.5 x 0.7 x 15.3 cm,4G LTE,"Camera, Radio, Internet, E-Mail, music player",2016-03-27
440,"Arya A1 Plus (Black-Silver, 9.7mm)",3.8 out of 5 stars,4999,"Android, Kitkat",Black-Silver,1 GB,13.3 x 1 x 6.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi 802.11b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail",2016-03-27
455,Intex Amaze Android Mobile Phone (Black),3 out of 5 stars,5799,Android,Black,1 GB,17.2 x 10.4 x 6 cm,HSDPA,"Type : MultiSim, Cpu : Octa Core 1.4GHz, Ram : 1GB OF RAM, Primary : 13MP, Wi-Fi : Yes, Sim : Dual Sim, Os Version : Android 4.4.2 Kitkat OS, Secondary : 5MP, Fm Radio : Yes",2016-03-27
459,LG G4 Stylus White White,2.6 out of 5 stars,20980,android,white,1 GB,16.5 x 10 x 5.5 cm,HSDPA,"Zero-gap in-cell Hybrid Touch with 14.4cm (5.7) HD Screen, Enhanced Stylus Pen & QuickMemo+, 13MP Laser Auto Focus + 5MP Front Camera, Blazing Fast 1.2 GHz Quad-Core CPU, Latest Android 5.0 Lollipop, Exceptional 3,000mAh Battery, 1.2 GHz Quad-Core CPU + Android 5.0 Lollipop, 13MP LDAF + 5MP Front Camera, Gesture Shot, Touch & Shoot",2016-03-27
469,"Micromax Unite 3 Q372 (Blue, 8GB)",4 out of 5 stars,5488,"Android, Lollipop",Blue,1 GB,13.9 x 0.9 x 7.2 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, (900/2100 MHz), HSPA, 3G, WiFi 802.11/b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, Light sensor, Gravity sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
473,intex aqua y2+,5 out of 5 stars,3650,android,WHITE,0.50 GB,16.2 x 8.9 x 8.5 cm,HSDPA,Primary Camera,2016-03-27
479,"Moto G 3rd Generation (Black, 16GB)",4 out of 5 stars,10999,Android,Black,2 GB,14.2 x 1.2 x 7.2 cm,"GSM, (850/900/1800 MHz), UMTS/HSPA+, 4G, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi","Dual SIM, Micro SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer (2), Ambient Light Sensor, Proximity, Sensor Hub, E-mail",2016-03-27
480,Micromax Canvas Nitro 4G E455 (Black),3.1 out of 5 stars,8334,Android,Black,2 GB,14.1 x 0.9 x 7 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Light sensor, Proximity sensor, G sensor, eCompass, E-mail, Expandable Memory: 32GB",2016-03-27
484,Panasonic Eluga I (Silver),3.4 out of 5 stars,6990,"Android, Kitkat",Silver,1 GB,14.7 x 0.9 x 7.4 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (2100 MHz), GPRS, EDGE, WiFi 802.11b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
494,Xolo Q2000L (White),3.4 out of 5 stars,9000,"Android, Kitkat",White,1 GB,15.6 x 0.8 x 7.8 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (2100 MHz), WiFi","Music Player, Video Player, FM Radio, GPS, Accelerometer, Proximity sensor, Ambient light sensor, Dual SIM, E-mail, Expandable Memory: 64GB",2016-03-27
498,Samsung Galaxy Grand Prime 4G SM-G531F (Gold),3.5 out of 5 stars,8850,Android,Gold,1 GB,14.5 x 0.9 x 7.2 cm,"GSM, (850/900/1800/1900 MHz), 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Geomagnetic sensor, E-mail, Expandable Memory: 64GB",2016-03-27
499,Micromax Canvas Pep Q371 (Blue),3.7 out of 5 stars,5360,"Android, Kitkat",Blue,1 GB,15.4 x 4.4 x 8.4 cm,"GSM, (900/1800/1900 MHz), 3G, HSDPA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
500,LG L Bello Dual D335 Black Titan,4.9 out of 5 stars,11400,Android,Black Titan,1 GB,18.6 x 15.8 x 5.4 cm,HSDPA,"Internal	8 GB, 1 GB RAM, 8 MP, 3264 x 2448 pixels, autofocus, LED flash, Qualcomm Snapdragon 400 Quad-core 1.3 GHz, Li-Ion 2540 mAh battery",2016-03-27
503,Karbonn Machone Plus (White-Gold),4.2 out of 5 stars,5555,Android,White-Gold,2 GB,13.7 x 0.8 x 6.8 cm,"GSM, 3G, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, G sensor, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
