idd,name,ratings,price,condition,mom
41,IMEX Enterprises,4.5 out of 5 stars,"Rs. 8,199.00",New,2016-04-10
41,bharat telecom,3 out of 5 stars,"Rs. 8,400.00",New,2016-04-10
41,khushi com,3 out of 5 stars,"Rs. 8,999.00",New,2016-04-10
41,The Electronic Sale,2 out of 5 stars,"Rs. 9,300.00",New,2016-04-10
43,Allianz Shoppe,2 out of 5 stars,"Rs. 3,800.00",New,2016-04-10
46,Home Zone Udaipur,4 out of 5 stars,"Rs. 5,299.00",New,2016-04-10
49,Ramsnehi mobile & Computer,5 out of 5 stars,"Rs. 16,500.00",New,2016-04-10
50,The Smart Solution,1 out of 5 stars,"Rs. 6,999.00",New,2016-04-10
51,Chandansingh Rajput,1 out of 5 stars,"Rs. 13,650.00",New,2016-04-10
51,Prakash Stores,4 out of 5 stars,"Rs. 16,000.00",New,2016-04-10
53,DealsDray,4 out of 5 stars,"Rs. 9,719.00",New,2016-04-10
53,OnlineSolutions,4 out of 5 stars,"Rs. 10,100.00",New,2016-04-10
53,Tharakan Duty Paid,3.5 out of 5 stars,"Rs. 13,200.00",New,2016-04-10
54,GADGETS_ONLINE,4.5 out of 5 stars,"Rs. 4,990.00",New,2016-04-10
54,Comminucation Next,1 out of 5 stars,"Rs. 6,199.00",New,2016-04-10
55,ADCOM,3.5 out of 5 stars,"Rs. 4,081.00",New,2016-04-10
55,Parth Lifestyle Products,4.5 out of 5 stars,"Rs. 4,099.00",New,2016-04-10
56,Seller No. 1,4 out of 5 stars,"Rs. 8,950.00",New,2016-04-10
56,Bharti Electronics,1 out of 5 stars,"Rs. 8,990.00",New,2016-04-10
56,PEE PEE MARKETING,1 out of 5 stars,"Rs. 8,980.00",New,2016-04-10
56,Chandansingh Rajput,1 out of 5 stars,"Rs. 8,990.00",New,2016-04-10
57,VEDA_INDIA,4.5 out of 5 stars,"Rs. 3,119.00",New,2016-04-10
57,R  J ELECTRONICS,3 out of 5 stars,"Rs. 3,440.00",New,2016-04-10
57,JKCSHOP,4.5 out of 5 stars,"Rs. 3,498.00",New,2016-04-10
58,SKYOC,4 out of 5 stars,"Rs. 3,031.00",New,2016-04-10
58,Staunch,4.5 out of 5 stars,"Rs. 3,199.00",New,2016-04-10
58,Click at Jagdamba Enterprises,4.5 out of 5 stars,"Rs. 3,290.00",New,2016-04-10
64,HimalayaGadgetStore,3.5 out of 5 stars,"Rs. 17,000.00",New,2016-04-10
65,GAUTAM MOBILE ZONE,1 out of 5 stars,"Rs. 2,799.00",New,2016-04-10
66,Fone Zone Nxt,1 out of 5 stars,"Rs. 20,000.00",New,2016-04-10
67,Aster Enterprises,1 out of 5 stars,"Rs. 7,499.00",New,2016-04-10
68,Rockingdeals.co,4.5 out of 5 stars,"Rs. 8,599.00",Refurbished,2016-04-10
69,N F B C_Retail,3 out of 5 stars,"Rs. 3,640.00",New,2016-04-10
69,LavaEstore,3.5 out of 5 stars,"Rs. 3,749.00",New,2016-04-10
69,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 3,840.00",New,2016-04-10
69,mobile mantra,1 out of 5 stars,"Rs. 4,000.00",New,2016-04-10
69,PAMIDIMARRI MOBILES,2 out of 5 stars,"Rs. 3,973.00",New,2016-04-10
70,Mekalsuta Enterprises,1.5 out of 5 stars,"Rs. 10,499.00",New,2016-04-10
70,PEE PEE MARKETING,1 out of 5 stars,"Rs. 10,599.00",New,2016-04-10
70,Satnam Shoppe,5 out of 5 stars,"Rs. 11,490.00",New,2016-04-10
70,Siddak enterprises,5 out of 5 stars,"Rs. 12,800.00",New,2016-04-10
73,AtoZStore100,4 out of 5 stars,"Rs. 16,499.00",New,2016-04-10
73,AtoZStore100,4 out of 5 stars,"Rs. 16,590.00",New,2016-04-10
73,Veestyle,2.5 out of 5 stars,"Rs. 16,885.00",New,2016-04-10
73,AMEZ,4.5 out of 5 stars,"Rs. 16,991.00",New,2016-04-10
73,Om Sai ram Ji,4 out of 5 stars,"Rs. 16,799.00",New,2016-04-10
73,Om Sai ram Ji,4 out of 5 stars,"Rs. 16,999.00",New,2016-04-10
73,outlook communication,1 out of 5 stars,"Rs. 17,498.00",New,2016-04-10
74,Staunch,4.5 out of 5 stars,"Rs. 7,996.00",New,2016-04-10
75,AtoZStore100,4 out of 5 stars,"Rs. 7,480.00",New,2016-04-10
75,ITWORLD_CHE_SLC,4.5 out of 5 stars,"Rs. 7,590.00",New,2016-04-10
75,Ojas_BAN_SLC,5 out of 5 stars,"Rs. 7,590.00",New,2016-04-10
75,Ziptech_CHE_SLC,5 out of 5 stars,"Rs. 7,590.00",New,2016-04-10
76,SHRI ANAND MOBILE,3.5 out of 5 stars,"Rs. 3,087.00",New,2016-04-10
77,Sunil Enterprise,4 out of 5 stars,"Rs. 2,550.00",New,2016-04-10
77,Choice007,1 out of 5 stars,"Rs. 2,550.00",New,2016-04-10
78,DealsDray,4 out of 5 stars,"Rs. 4,269.00",New,2016-04-10
78,Vicky Mobile Khazana,1 out of 5 stars,"Rs. 4,600.00",New,2016-04-10
79,DEVICES INDIA,4 out of 5 stars,"Rs. 9,595.00",New,2016-04-10
79,KM Mobiles,1 out of 5 stars,"Rs. 13,000.00",New,2016-04-10
81,Aster Enterprises,1 out of 5 stars,"Rs. 4,999.00",New,2016-04-10
83,RIGVI,3.5 out of 5 stars,"Rs. 7,800.00",New,2016-04-10
83,GURSAHIB COMMUNICATION,3 out of 5 stars,"Rs. 7,750.00",New,2016-04-10
83,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 8,450.00",New,2016-04-10
83,PlanetTelecom,1 out of 5 stars,"Rs. 8,549.00",New,2016-04-10
83,LOGIC SYSTEMS,2.5 out of 5 stars,"Rs. 9,600.00",New,2016-04-10
83,ekta mobiles,3.5 out of 5 stars,"Rs. 10,800.00",New,2016-04-10
86,PEE PEE MARKETING,1 out of 5 stars,"Rs. 4,000.00",New,2016-04-10
86,Sunil Enterprise,4 out of 5 stars,"Rs. 5,000.00",New,2016-04-10
87,Silcare,4 out of 5 stars,"Rs. 4,999.00",New,2016-04-10
88,PEE PEE MARKETING,1 out of 5 stars,"Rs. 55,199.00",New,2016-04-10
88,Satnam Shoppe,5 out of 5 stars,"Rs. 56,500.00",New,2016-04-10
88,Fone Zone Nxt,1 out of 5 stars,"Rs. 58,000.00",New,2016-04-10
88,waves_enterprise,5 out of 5 stars,"Rs. 58,990.00",New,2016-04-10
89,SCPL SLP,4.5 out of 5 stars,"Rs. 7,699.00",New,2016-04-10
89,Staunch,4.5 out of 5 stars,"Rs. 7,999.00",New,2016-04-10
90,"SSB Enterprises, Pune",5 out of 5 stars,"Rs. 6,759.00",New,2016-04-10
90,M/S HARI OM ENTERPRISES,2 out of 5 stars,"Rs. 8,216.00",New,2016-04-10
91,vijayasaienterprises,3.5 out of 5 stars,"Rs. 10,778.00",New,2016-04-10
91,PAMIDIMARRI MOBILES,2 out of 5 stars,"Rs. 10,778.00",New,2016-04-10
92,LavaEstore,3.5 out of 5 stars,"Rs. 3,599.00",New,2016-04-10
92,H.M.T. Watch Centre,1 out of 5 stars,"Rs. 3,575.00",New,2016-04-10
92,Faizuls Communications,5 out of 5 stars,"Rs. 3,999.00",New,2016-04-10
96,indian dzire,3.5 out of 5 stars,"Rs. 14,760.00",New,2016-04-10
97,Two3Mobile,1 out of 5 stars,"Rs. 3,790.00",New,2016-04-10
98,Long Life Electronics,4 out of 5 stars,"Rs. 3,749.00",New,2016-04-10
100,AJ Ent,2.5 out of 5 stars,"Rs. 6,250.00",New,2016-04-10
100,Mtwravi2225,1 out of 5 stars,"Rs. 6,499.00",New,2016-04-10
100,Mobile Ghar,1 out of 5 stars,"Rs. 7,499.00",New,2016-04-10
101,Gupta Telecom D,1 out of 5 stars,"Rs. 9,500.00",New,2016-04-10
102,CLOUD ETAIL,4.5 out of 5 stars,"Rs. 7,630.00",New,2016-04-10
102,deccanhubb,3 out of 5 stars,"Rs. 7,630.00",New,2016-04-10
102,CLOUD ETAIL,4.5 out of 5 stars,"Rs. 7,630.00",New,2016-04-10
102,SKYOC,4 out of 5 stars,"Rs. 7,630.00",New,2016-04-10
102,Allied T.V Electonics,2 out of 5 stars,"Rs. 8,000.00",New,2016-04-10
102,Abhay Sales,3.5 out of 5 stars,"Rs. 7,999.00",New,2016-04-10
102,Softcloud Retails,3 out of 5 stars,"Rs. 8,190.00",New,2016-04-10
102,mobilecafe online,5 out of 5 stars,"Rs. 8,300.00",New,2016-04-10
104,Rockingdeals.co,4.5 out of 5 stars,"Rs. 5,990.00",Refurbished,2016-04-10
105,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 2,299.00",New,2016-04-10
108,Shopping Jinni,1 out of 5 stars,"Rs. 15,999.00",New,2016-04-10
109,Deals Amazing,4 out of 5 stars,"Rs. 7,999.00",New,2016-04-10
109,Amado Fashions,3.5 out of 5 stars,"Rs. 8,285.00",New,2016-04-10
111,Pluto Plus,4.5 out of 5 stars,"Rs. 36,895.00",New,2016-04-10
111,MANISH MOBILE,2 out of 5 stars,"Rs. 55,000.00",New,2016-04-10
111,SRI SRI CELL ZONE,3 out of 5 stars,"Rs. 56,150.00",New,2016-04-10
114,Unique@Seller-FBA-SLP,4.5 out of 5 stars,"Rs. 8,599.00",New,2016-04-10
114,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 8,600.00",New,2016-04-10
114,Zion International,1 out of 5 stars,"Rs. 8,730.00",New,2016-04-10
114,Bansal Mobile Care,4.5 out of 5 stars,"Rs. 8,790.00",New,2016-04-10
115,HimalayaGadgetStore,3.5 out of 5 stars,"Rs. 16,900.00",New,2016-04-10
116,KM Mobiles,1 out of 5 stars,"Rs. 16,500.00",New,2016-04-10
118,I-Smart,2.5 out of 5 stars,"Rs. 6,650.00",New,2016-04-10
119,Deals Amazing,4 out of 5 stars,"Rs. 3,799.00",New,2016-04-10
119,intouch2016,3 out of 5 stars,"Rs. 4,100.00",New,2016-04-10
119,Sahu communication,1 out of 5 stars,"Rs. 4,618.00",New,2016-04-10
121,Choice007,1 out of 5 stars,"Rs. 3,999.00",New,2016-04-10
122,Gadget box retail,1.5 out of 5 stars,"Rs. 18,599.00",New,2016-04-10
122,Apnamall,4 out of 5 stars,"Rs. 18,900.00",New,2016-04-10
122,PentaGram,3.5 out of 5 stars,"Rs. 19,049.00",New,2016-04-10
122,DealsDray,4 out of 5 stars,"Rs. 21,990.00",New,2016-04-10
122,mobile mantra,1 out of 5 stars,"Rs. 23,500.00",New,2016-04-10
123,ssdmobiles,2 out of 5 stars,"Rs. 6,299.00",New,2016-04-10
123,DRAGON DEALS,4 out of 5 stars,"Rs. 8,499.00",New,2016-04-10
124,deccanhubb,3 out of 5 stars,"Rs. 28,490.00",New,2016-04-10
124,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 28,499.00",New,2016-04-10
125,LavaEstore,3.5 out of 5 stars,"Rs. 5,349.00",New,2016-04-10
125,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 5,699.00",New,2016-04-10
125,vijayasaienterprises,3.5 out of 5 stars,"Rs. 6,000.00",New,2016-04-10
128,DNPHMMOBILE,3.5 out of 5 stars,"Rs. 3,599.00",New,2016-04-10
131,XOLO,4 out of 5 stars,"Rs. 9,499.00",New,2016-04-10
132,HimalayaGadgetStore,3.5 out of 5 stars,"Rs. 8,000.00",New,2016-04-10
133,ADCOM,3.5 out of 5 stars,"Rs. 6,891.00",New,2016-04-10
134,MTB RISES,1 out of 5 stars,"Rs. 21,999.00",New,2016-04-10
136,NeoTech Inc,3 out of 5 stars,"Rs. 3,190.00",New,2016-04-10
136,NeoTech Inc,3 out of 5 stars,"Rs. 3,190.00",New,2016-04-10
137,SRI RAKESH ENTERPRISES,1 out of 5 stars,"Rs. 3,700.00",New,2016-04-10
138,Mobile Marketing 1,3.5 out of 5 stars,"Rs. 5,999.00",New,2016-04-10
138,ekta mobiles,3.5 out of 5 stars,"Rs. 7,800.00",New,2016-04-10
138,MANISH MOBILE,2 out of 5 stars,"Rs. 7,700.00",New,2016-04-10
