SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
62,,,,"Android, KitKat, Android^KitKat","Black, White",1 GB,19 x 12 x 5 cm,HSDPA,"Android 4.4.2 Kitkat, 5 inches HD+IPS+OGS, Micro SD, up to 64 GB, Rear Camera 8MP with Flash, Front Camera 3.2MP, Processor	1.2Ghz Quad core, Messaging	SMS, Whatsapp, Wechat, Li-Ion 2500 mAh battery",2016-04-09
63,,,"15,828.00",Android,white,,12.7 x 8.3 x 5.1 cm,3G,"Touchscreen, Primary Camera, LED Flash",2016-04-09
64,,2.5 out of 5 stars,,"Android, Jellybean",White,1 GB,14.3 x 0.7 x 7 cm,"GSM, (850/900/1800/1900 MHz), (2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, G-Sensor, E-mail, NFC, E-compass, Light and proximity sensor, Gyro meter",2016-04-09
65,,2.2 out of 5 stars,"2,599.00","Android, Jellybean",Black,256 MB,6.4 x 0.8 x 1.1 cm,"GSM, GPRS, EDGE, WiFi 802.11/b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-04-09
66,,,,"Android, Gingerbread",Black,1 GB,12.2 x 1.1 x 12.2 cm,"GSM, GPRS, EDGE, WiFi, (850/900/1800/1900 MHz)","Voice Calls, Video Calls, Accelerometer sensor, Proximity sensor, E-mail, GPS",2016-04-09
67,,2.5 out of 5 stars,,"Android, Jellybean",White,512 MB,14.9 x 1 x 7.9 cm,"GSM, (900/1800 MHz), UMTS, 3G, (2100 MHz), WiFi","Music Player, Video Player, E-mail, Dual SIM, Expandable Memory: 32GB",2016-04-09
68,,4 out of 5 stars,,Android,Gold,,15.4 x 0.7 x 7.6 cm,GSM^3G^4G LTE,"Single SIM, Music Player, Video Player, FM Radio, Proximity sensor, Ambient light sensor, Accelerometer, eCompass, E-mail",2016-04-09
69,,3 out of 5 stars,"3,749.00",Android,White,512 MB,13.4 x 0.9 x 6.6 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, E-mail, Expandable Memory: 32GB",2016-04-09
70,,3.4 out of 5 stars,"10,599.00","Android, Kitkat",White,1 GB,13.3 x 1.1 x 7.1 cm,"GSM, 3G, UMTS, 4G LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-04-09
71,,2.9 out of 5 stars,"8,130.00",Android,Silver-Black,2 GB,14 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-04-09
